kit_id,kit_codigo,kit_nome,kit_saldo_pacotes,kit_qtd_pacote,kit_equiv_unidades,kit_valor_estoque,simples_id,simples_codigo,simples_nome,simples_saldo,simples_valor_estoque,simples_receita_12m,score_jaccard,bate_numericamente,diff_pct,nivel_confianca
435345565,14323,PROTETOR FACIAL INCOLOR COM CAPACETE AMARELO - CAMPER ,0,,0,0.0,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435348454,14327,PROTETOR FACIAL INCOLOR COM CAPACETE CINZA - CAMPER ,-1,,0,-71.24415,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435345772,14324,PROTETOR FACIAL INCOLOR COM CAPACETE LARANJA - CAMPER ,1,,0,71.24415,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435345347,14322,PROTETOR FACIAL INCOLOR COM CAPACETE MARROM - CAMPER ,9,,0,641.19735,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435348533,14321,PROTETOR FACIAL INCOLOR COM CAPACETE PRETO - CAMPER ,112,,0,7979.3448,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435348308,14326,PROTETOR FACIAL INCOLOR COM CAPACETE VERDE - CAMPER ,1,,0,71.24415,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435346065,14325,PROTETOR FACIAL INCOLOR COM CAPACETE VERMELHO - CAMPER ,0,,0,0.0,406633608,12369,PROTETOR FACIAL COM SUPORTE UNIVERSAL PARA CAPACETE - CAMPER (INCOLOR),112,6520.27376,23301.36,0.625,False,1.0,3
435857713,14488,RESPIRADOR PFF1 COM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),0,100.0,0,0.0,435857652,14507,RESPIRADOR PFF1 COM VÁLVULA PRO SAFETY - DELTA PLUS,0,0.0,23014.61,1.0,True,1.0,1
442848624,16596,RESPIRADOR PFF1 COM VÁLVULA TIPO CONCHA CONFORT M1100VBR - DELTA PLUS (10 UNID),47,10.0,470,2915.1045,442848607,16595,RESPIRADOR PFF1 COM VÁLVULA TIPO CONCHA CONFORT M1100VBR - DELTA PLUS,470,2915.1045,167.24,1.0,True,0.0,1
435857875,14489,RESPIRADOR PFF1 SEM VÁLVULA PRO SAFETY - DELTA PLUS (100 UNID),21,100.0,2100,2282.175,435857652,14507,RESPIRADOR PFF1 COM VÁLVULA PRO SAFETY - DELTA PLUS,0,0.0,23014.61,1.0,False,1.0,3
